Точки zi. в которых вычисляется производная,erf'(zi)=...,L'n(zi),Погрешность интерполяции ...
0.0,1.0,0.9983943194718183,0.0016056805281816633
0.05172413793103448,0.9999911695636626,1.0000421614147956,5.0991851132997645e-05
0.10344827586206896,0.9998587161376439,1.0002100370521194,0.00035132091447553915
0.15517241379310345,0.9992848188675882,0.999500371453552,0.00021555258596372973
0.20689655172413793,0.9977402565572504,0.9977837552015467,4.349864429631367e-05
0.25862068965517243,0.9944860439159385,0.994442159792242,4.388412369649153e-05
0.3103448275862069,0.9885775495398713,0.9885260728940677,5.147664580362754e-05
0.3620689655172414,0.9788729054901473,0.9788509941406067,2.191134954054874e-05
0.41379310344827586,0.9640479934858465,0.964055495847652,7.502361805578062e-06
0.46551724137931033,0.9426207067607698,0.9426398167572589,1.9109996489130587e-05
0.5172413793103449,0.912987493886586,0.913000720624245,1.322673765902227e-05
0.5689655172413793,0.8734753282890498,0.8734751151736889,2.1311536091417338e-07
0.6206896551724138,0.8224121337473319,0.8224016906707613,1.0443076570609833e-05
0.6724137931034483,0.758218234604242,0.7582066010570429,1.1633547199130234e-05
0.7241379310344828,0.6795204812921657,0.6795159743204648,4.50697170084613e-06
0.7758620689655172,0.5852892170087339,0.5852948024788244,5.585470090441191e-06
0.8275862068965517,0.4749961032871739,0.4750085252696589,1.2421982485022465e-05
0.8793103448275862,0.34878794899860355,0.34880038535224017,1.2436353636624542e-05
0.9310344827586207,0.20766809013469806,0.20767439654022085,6.30640552279349e-06
0.9827586206896551,0.05367264449018626,0.05367053029639975,2.1141937865051807e-06
1.0344827586206897,-0.1099756518827898,-0.10998451056606556,8.858683275769774e-06
1.0862068965517242,-0.2787579285506709,-0.2787707983188321,1.2869768161227757e-05
1.1379310344827587,-0.4468198871120277,-0.4468360705198334,1.618340780568106e-05
1.1896551724137931,-0.6070312146459179,-0.6070503438980882,1.9129252170291267e-05
1.2413793103448276,-0.7511723561409347,-0.7511838281260961,1.1471985161382037e-05
1.293103448275862,-0.8702739297244424,-0.8702409519710027,3.297775343968912e-05
1.3448275862068966,-0.9551260420736186,-0.9549865506031896,0.00013949147042902066
1.396551724137931,-0.9969611403417374,-0.9967034991276078,0.0002576412141296336
1.4482758620689655,-0.988294327681915,-0.9882243136906936,7.001399122141816e-05
1.5,-0.9238795325112868,-0.9252824778027753,0.0014029452914884333
