Узлы,Max(eps) uniform
10,0.0016056805281816633
12,0.0010068089628908483
14,0.0036032695803643877
16,0.007360671096042992
18,0.03170660126083824
20,0.1865387668821591
22,0.5872108652652336
24,1.7217343457100798
26,3.086101310060511
28,12.962532584656106
30,97.73435423202228
32,340.84780494224606
34,1050.7087361711858
36,1875.9292651099377
38,6512.499751153669
40,96728.07981808488
42,271315.52724076185
44,993039.0162713673
46,4476754.358492618
48,17740362.61546988
50,66391740.463978305
52,216699927.74785185
54,769213153.1092515
56,3267484496.776479
58,12248183161.14602
60,45940806553.35017
62,169904620561.41013
64,653343540895.3834
66,3705702479254.942
68,13857712458706.453
70,52887147074916.47
72,209110523825406.0
74,802918861137476.1
76,2990046373569040.0
78,1.11677865471684e+16
